agent_name,static_score,dynamic_score,gap,clean_episodes,shifted_episodes
conservative,0.6666666666666666,0.2916666666666667,0.37499999999999994,3,24
monitor_gated,0.6666666666666666,0.2916666666666667,0.37499999999999994,3,24
naive,0.6666666666666666,0.4166666666666667,0.24999999999999994,3,24
offline_llm_fixture,0.6666666666666666,0.16666666666666666,0.5,3,24
retry,0.6666666666666666,0.5,0.16666666666666663,3,24
validate_then_act,0.6666666666666666,0.2916666666666667,0.37499999999999994,3,24
